[13:15:49 06/23/16] INFO  -  id:503 path:/opt/tomcat/webapps/targetreg/admindata/photo_test/6/ name:6_1.jpg
[13:15:49 06/23/16] INFO  -  id:504 path:/opt/tomcat/webapps/targetreg/admindata/photo_test/6/ name:6_10.jpg
[13:15:49 06/23/16] INFO  -  id:505 path:/opt/tomcat/webapps/targetreg/admindata/photo_test/6/ name:6_11.jpg
[13:15:49 06/23/16] INFO  -  id:506 path:/opt/tomcat/webapps/targetreg/admindata/photo_test/6/ name:6_12.jpg
[13:15:49 06/23/16] INFO  -  id:507 path:/opt/tomcat/webapps/targetreg/admindata/photo_test/6/ name:6_13.jpg
[13:15:49 06/23/16] INFO  -  id:508 path:/opt/tomcat/webapps/targetreg/admindata/photo_test/6/ name:6_14.jpg
[13:15:49 06/23/16] INFO  -  id:509 path:/opt/tomcat/webapps/targetreg/admindata/photo_test/6/ name:6_15.jpg
[13:15:49 06/23/16] INFO  -  id:510 path:/opt/tomcat/webapps/targetreg/admindata/photo_test/6/ name:6_16.jpg
[13:15:49 06/23/16] INFO  -  id:511 path:/opt/tomcat/webapps/targetreg/admindata/photo_test/6/ name:6_17.jpg
[13:15:49 06/23/16] INFO  -  id:512 path:/opt/tomcat/webapps/targetreg/admindata/photo_test/6/ name:6_18.jpg
[13:16:07 06/23/16] INFO  - RetrieveServer ## id=106f659cfd4e4fed#pi=1#pn=10#word=北京站#
[13:16:07 06/23/16] INFO  - status 1
[13:16:07 06/23/16] INFO  -  id:144 path:/opt/tomcat/webapps/targetreg/admindata/remote_test/14/ name:14_1.JPG
[13:16:07 06/23/16] INFO  -  id:145 path:/opt/tomcat/webapps/targetreg/admindata/remote_test/14/ name:14_2.JPG
[13:16:07 06/23/16] INFO  -  id:146 path:/opt/tomcat/webapps/targetreg/admindata/remote_test/14/ name:14_3.JPG
[13:16:07 06/23/16] INFO  -  id:147 path:/opt/tomcat/webapps/targetreg/admindata/remote_test/14/ name:14_4.JPG
[13:16:07 06/23/16] INFO  -  id:148 path:/opt/tomcat/webapps/targetreg/admindata/remote_test/14/ name:14_5.JPG
[13:16:07 06/23/16] INFO  -  id:149 path:/opt/tomcat/webapps/targetreg/admindata/remote_test/14/ name:14_6.JPG
[13:16:07 06/23/16] INFO  -  id:546 path:/opt/tomcat/webapps/targetreg/admindata/photo_test/7/ name:7_1.jpg
[13:16:07 06/23/16] INFO  -  id:547 path:/opt/tomcat/webapps/targetreg/admindata/photo_test/7/ name:7_10.jpg
[13:16:07 06/23/16] INFO  -  id:548 path:/opt/tomcat/webapps/targetreg/admindata/photo_test/7/ name:7_11.jpg
[13:16:07 06/23/16] INFO  -  id:549 path:/opt/tomcat/webapps/targetreg/admindata/photo_test/7/ name:7_12.jpg
[13:16:07 06/23/16] INFO  -  id:550 path:/opt/tomcat/webapps/targetreg/admindata/photo_test/7/ name:7_13.jpg
[13:16:07 06/23/16] INFO  -  id:551 path:/opt/tomcat/webapps/targetreg/admindata/photo_test/7/ name:7_14.jpg
